ID,Category,Question,Answer,Difficulty,Cleaned_Question,Cleaned_Answer
38,AI (Data Science),What is the purpose of dimensionality reduction?,"Answer: Dimensionality reduction aims to reduce the number of features in a dataset while retaining essential information, improving model performance and interpretability.",Medium,purpose dimensionality reduction,answer dimensionality reduction aim reduce number feature dataset retaining essential information improving model performance interpretability
39,AI (Data Science),What is a deep learning model?,Answer: A deep learning model is a type of neural network with multiple layers that can learn hierarchical representations of data.,Easy,deep learning model,answer deep learning model type neural network multiple layer learn hierarchical representation data
40,AI (Data Science),Describe the architecture of a convolutional neural network (CNN).,"Answer: A CNN consists of convolutional layers, pooling layers, and fully connected layers, designed to process grid-like data such as images.",Hard,describe architecture convolutional neural network cnn,answer cnn consists convolutional layer pooling layer fully connected layer designed process gridlike data image
41,AI (Data Science),What is the role of a data scientist?,"Answer: A data scientist analyzes and interprets complex data to help organizations make informed decisions, using statistical, analytical, and programming skills.",Easy,role data scientist,answer data scientist analyzes interprets complex data help organization make informed decision using statistical analytical programming skill
42,AI (Data Science),What is the purpose of A/B testing?,Answer: A/B testing compares two versions of a variable to determine which one performs better in achieving a desired outcome.,Medium,purpose ab testing,answer ab testing compare two version variable determine one performs better achieving desired outcome
43,AI (Data Science),What is a recommender system?,"Answer: A recommender system suggests products or content to users based on their preferences and behavior, using collaborative or content-based filtering.",Medium,recommender system,answer recommender system suggests product content user based preference behavior using collaborative contentbased filtering
44,AI (Data Science),What is the function of an activation function in a neural network?,"Answer: An activation function introduces non-linearities into the network, allowing it to learn complex patterns in the data.",Medium,function activation function neural network,answer activation function introduces nonlinearities network allowing learn complex pattern data
45,AI (Data Science),Explain what a multi-class classification problem is.,"Answer: A multi-class classification problem involves predicting a single label from three or more classes, such as classifying types of fruit.",Medium,explain multiclass classification problem,answer multiclass classification problem involves predicting single label three class classifying type fruit
46,AI (Data Science),What is the purpose of the F1 score?,"Answer: The F1 score combines precision and recall into a single metric, providing a balance between the two for evaluating model performance.",Medium,purpose f score,answer f score combine precision recall single metric providing balance two evaluating model performance
47,AI (Data Science),What is the difference between static and dynamic data?,"Answer: Static data does not change over time, whereas dynamic data is continuously updated and changes frequently.",Easy,difference static dynamic data,answer static data change time whereas dynamic data continuously updated change frequently
48,AI (Data Science),What are the key steps in the data science process?,"Answer: Key steps include problem definition, data collection, data cleaning, exploratory data analysis, modeling, and deployment.",Medium,key step data science process,answer key step include problem definition data collection data cleaning exploratory data analysis modeling deployment
49,AI (Data Science),What is the role of a data engineer?,"Answer: A data engineer designs and implements systems for collecting, storing, and processing large datasets, ensuring their availability for analysis.",Easy,role data engineer,answer data engineer design implement system collecting storing processing large datasets ensuring availability analysis
50,AI (Data Science),What is the importance of data visualization?,"Answer: Data visualization helps to communicate insights and findings clearly, making complex data more understandable and accessible to stakeholders.",Medium,importance data visualization,answer data visualization help communicate insight finding clearly making complex data understandable accessible stakeholder
51,AI (Data Science),What is a time series forecasting model?,Answer: A time series forecasting model predicts future values based on past observations in a time-ordered sequence.,Medium,time series forecasting model,answer time series forecasting model predicts future value based past observation timeordered sequence
52,AI (Data Science),What is the difference between a primary key and a foreign key in databases?,"Answer: A primary key uniquely identifies a record in a table, while a foreign key links to a primary key in another table to establish a relationship.",Easy,difference primary key foreign key database,answer primary key uniquely identifies record table foreign key link primary key another table establish relationship
53,AI (Data Science),What is a model's interpretability?,Answer: Interpretability refers to how well a human can understand the reasons behind a model's decisions and predictions.,Medium,model interpretability,answer interpretability refers well human understand reason behind model decision prediction
54,AI (Data Science),Can you explain what an autoencoder is?,Answer: An autoencoder is a type of neural network used for unsupervised learning that learns to encode data into a lower-dimensional representation and then reconstruct it.,Hard,explain autoencoder,answer autoencoder type neural network used unsupervised learning learns encode data lowerdimensional representation reconstruct
55,AI (Data Science),What is the difference between a univariate and multivariate analysis?,"Answer: Univariate analysis involves examining one variable at a time, while multivariate analysis looks at multiple variables simultaneously to understand relationships.",Medium,difference univariate multivariate analysis,answer univariate analysis involves examining one variable time multivariate analysis look multiple variable simultaneously understand relationship
56,AI (Data Science),What is the purpose of a model evaluation metric?,"Answer: A model evaluation metric quantifies the performance of a model, helping to assess its effectiveness and compare it with other models.",Easy,purpose model evaluation metric,answer model evaluation metric quantifies performance model helping assess effectiveness compare model
57,AI (Data Science),How do you choose the right machine learning algorithm for a problem?,"Answer: The choice of algorithm depends on the data type, the problem being solved, the amount of data available, and the required accuracy and interpretability.",Medium,choose right machine learning algorithm problem,answer choice algorithm depends data type problem solved amount data available required accuracy interpretability
58,AI (Data Science),What is k-fold cross-validation?,"Answer: K-fold cross-validation divides the dataset into k subsets, training the model k times, each time using a different subset as the test set and the rest as training data.",Medium,kfold crossvalidation,answer kfold crossvalidation divide dataset k subset training model k time time using different subset test set rest training data
59,AI (Data Science),What is the purpose of feature selection?,"Answer: Feature selection reduces the number of input variables in a model, improving performance by eliminating irrelevant or redundant features.",Medium,purpose feature selection,answer feature selection reduces number input variable model improving performance eliminating irrelevant redundant feature
60,AI (Data Science),What is the significance of the p-value in hypothesis testing?,Answer: The p-value measures the strength of evidence against the null hypothesis; a lower p-value indicates stronger evidence for rejecting the null hypothesis.,Medium,significance pvalue hypothesis testing,answer pvalue measure strength evidence null hypothesis lower pvalue indicates stronger evidence rejecting null hypothesis
61,AI (Data Science),What is the purpose of a database index?,Answer: A database index improves the speed of data retrieval operations on a database table by providing a more efficient way to access rows.,Easy,purpose database index,answer database index improves speed data retrieval operation database table providing efficient way access row
62,AI (Data Science),What is the difference between Type I and Type II errors?,"Answer: Type I error occurs when a true null hypothesis is incorrectly rejected, while Type II error occurs when a false null hypothesis fails to be rejected.",Hard,difference type type ii error,answer type error occurs true null hypothesis incorrectly rejected type ii error occurs false null hypothesis fails rejected
63,AI (Data Science),Explain the concept of feature engineering.,Answer: Feature engineering involves creating new features or modifying existing features to improve model performance and capture relevant information.,Medium,explain concept feature engineering,answer feature engineering involves creating new feature modifying existing feature improve model performance capture relevant information
64,AI (Data Science),What is a linear regression model?,Answer: A linear regression model predicts a continuous outcome variable by fitting a linear equation to the observed data.,Easy,linear regression model,answer linear regression model predicts continuous outcome variable fitting linear equation observed data
65,AI (Data Science),What is the purpose of a test set in machine learning?,"Answer: A test set evaluates the final performance of a trained model on unseen data, providing an unbiased assessment of its generalization capability.",Easy,purpose test set machine learning,answer test set evaluates final performance trained model unseen data providing unbiased assessment generalization capability
66,AI (Data Science),"What does ""data wrangling"" mean?","Answer: Data wrangling refers to the process of cleaning, transforming, and preparing raw data for analysis or modeling.",Easy,data wrangling mean,answer data wrangling refers process cleaning transforming preparing raw data analysis modeling
67,AI (Data Science),What are the advantages of using Python for data science?,"Answer: Python offers a rich ecosystem of libraries, ease of learning, good community support, and versatility for data analysis and visualization tasks.",Easy,advantage using python data science,answer python offer rich ecosystem library ease learning good community support versatility data analysis visualization task
68,AI (Data Science),What is the role of a data warehouse?,"Answer: A data warehouse stores large volumes of structured data from multiple sources, enabling efficient querying and analysis for business intelligence.",Medium,role data warehouse,answer data warehouse store large volume structured data multiple source enabling efficient querying analysis business intelligence
69,AI (Data Science),What is a linear classifier?,"Answer: A linear classifier separates data points into classes using a linear decision boundary, such as a line in two dimensions or a hyperplane in higher dimensions.",Medium,linear classifier,answer linear classifier separate data point class using linear decision boundary line two dimension hyperplane higher dimension
70,AI (Data Science),Explain the concept of the Central Limit Theorem.,"Answer: The Central Limit Theorem states that the distribution of the sum of a large number of independent random variables approaches a normal distribution, regardless of the original distribution.",Hard,explain concept central limit theorem,answer central limit theorem state distribution sum large number independent random variable approach normal distribution regardless original distribution
71,AI (Data Science),What is the significance of the AUC-ROC curve?,Answer: The AUC-ROC curve measures the ability of a classifier to distinguish between classes; a higher area under the curve indicates better performance.,Medium,significance aucroc curve,answer aucroc curve measure ability classifier distinguish class higher area curve indicates better performance
72,AI (Data Science),What are categorical variables?,Answer: Categorical variables represent distinct categories or groups and can be nominal (no order) or ordinal (with order).,Easy,categorical variable,answer categorical variable represent distinct category group nominal order ordinal order
73,AI (Data Science),What is the function of a softmax layer in a neural network?,"Answer: A softmax layer converts raw scores from the final layer of a neural network into probabilities that sum to one, suitable for multi-class classification.",Medium,function softmax layer neural network,answer softmax layer convert raw score final layer neural network probability sum one suitable multiclass classification
74,AI (Data Science),What is a histogram?,"Answer: A histogram is a graphical representation of the distribution of numerical data, showing the frequency of data points within specified ranges (bins).",Easy,histogram,answer histogram graphical representation distribution numerical data showing frequency data point within specified range bin
75,AI (Data Science),What is the difference between a population and a sample in statistics?,"Answer: A population includes all members of a defined group, while a sample is a subset of the population used for statistical analysis.",Easy,difference population sample statistic,answer population includes member defined group sample subset population used statistical analysis
76,AI (Data Science),Explain what a Bayesian model is.,Answer: A Bayesian model incorporates prior beliefs and evidence to update the probability of a hypothesis as more data becomes available.,Hard,explain bayesian model,answer bayesian model incorporates prior belief evidence update probability hypothesis data becomes available
77,AI (Data Science),What are the advantages of using decision trees?,"Answer: Decision trees are easy to understand and interpret, require little data preparation, and can handle both numerical and categorical data.",Medium,advantage using decision tree,answer decision tree easy understand interpret require little data preparation handle numerical categorical data
78,AI (Data Science),"Can you explain the term ""ensemble learning""?","Answer: Ensemble learning combines multiple models to improve performance and reduce the likelihood of overfitting, often yielding better predictions than individual models.",Medium,explain term ensemble learning,answer ensemble learning combine multiple model improve performance reduce likelihood overfitting often yielding better prediction individual model
79,AI (Data Science),What is the role of the loss function in deep learning?,"Answer: The loss function quantifies the difference between the predicted output and the true output, guiding the optimization process during training.",Medium,role loss function deep learning,answer loss function quantifies difference predicted output true output guiding optimization process training
80,AI (Data Science),What is a scatter plot?,"Answer: A scatter plot is a graphical representation that uses dots to display the values of two variables, showing their relationship and potential correlation.",Easy,scatter plot,answer scatter plot graphical representation us dot display value two variable showing relationship potential correlation
81,AI (Data Science),What is a categorical feature?,"Answer: A categorical feature represents data that can be divided into distinct categories, such as gender or product type, often requiring encoding for modeling.",Easy,categorical feature,answer categorical feature represents data divided distinct category gender product type often requiring encoding modeling
82,AI (Data Science),How do you assess the importance of features in a model?,"Answer: Feature importance can be assessed using techniques like permutation importance, feature importance scores from tree-based models, or SHAP values.",Hard,assess importance feature model,answer feature importance assessed using technique like permutation importance feature importance score treebased model shap value
83,AI (Data Science),What is the purpose of a confusion matrix?,"Answer: A confusion matrix summarizes the performance of a classification model by showing true positives, false positives, true negatives, and false negatives.",Medium,purpose confusion matrix,answer confusion matrix summarizes performance classification model showing true positive false positive true negative false negative
84,AI (Data Science),What is the difference between batch gradient descent and stochastic gradient descent?,"Answer: Batch gradient descent computes the gradient using the entire dataset, while stochastic gradient descent updates the model using one data point at a time, leading to faster convergence.",Hard,difference batch gradient descent stochastic gradient descent,answer batch gradient descent computes gradient using entire dataset stochastic gradient descent update model using one data point time leading faster convergence
85,AI (Data Science),What is a box plot?,"Answer: A box plot summarizes the distribution of a dataset by displaying its median, quartiles, and potential outliers, providing a visual representation of data spread.",Easy,box plot,answer box plot summarizes distribution dataset displaying median quartile potential outlier providing visual representation data spread
86,AI (Data Science),"Can you explain the term ""shallow learning""?","Answer: Shallow learning refers to traditional machine learning techniques that typically involve single-layer models, as opposed to deep learning which uses multi-layered architectures.",Medium,explain term shallow learning,answer shallow learning refers traditional machine learning technique typically involve singlelayer model opposed deep learning us multilayered architecture
87,AI (Data Science),What is the purpose of the validation split in machine learning?,Answer: The validation split allows for tuning hyperparameters and assessing model performance during training without using the test set.,Easy,purpose validation split machine learning,answer validation split allows tuning hyperparameters assessing model performance training without using test set
88,AI (Data Science),What is a categorical encoding technique?,"Answer: Categorical encoding techniques transform categorical variables into a numerical format that can be used in machine learning models, such as one-hot encoding or label encoding.",Medium,categorical encoding technique,answer categorical encoding technique transform categorical variable numerical format used machine learning model onehot encoding label encoding
89,AI (Data Science),What is the purpose of the train-test split in machine learning?,Answer: The train-test split divides data into training and testing subsets to allow for model training while ensuring that the model is evaluated on unseen data.,Easy,purpose traintest split machine learning,answer traintest split divide data training testing subset allow model training ensuring model evaluated unseen data
90,AI (Data Science),What is a probability distribution?,"Answer: A probability distribution describes how the values of a random variable are distributed, indicating the likelihood of different outcomes.",Easy,probability distribution,answer probability distribution describes value random variable distributed indicating likelihood different outcome
91,AI (Data Science),Can you explain what a linear kernel is in SVM?,"Answer: A linear kernel is a function used in support vector machines that creates a linear decision boundary, suitable for linearly separable data.",Medium,explain linear kernel svm,answer linear kernel function used support vector machine creates linear decision boundary suitable linearly separable data
92,AI (Data Science),What is the role of data normalization?,"Answer: Data normalization scales individual data points to a common scale without distorting differences in the ranges of values, improving model convergence and performance.",Medium,role data normalization,answer data normalization scale individual data point common scale without distorting difference range value improving model convergence performance
93,AI (Data Science),What is an anomaly detection algorithm?,"Answer: Anomaly detection algorithms identify rare items, events, or observations that raise suspicions by differing significantly from the majority of the data.",Medium,anomaly detection algorithm,answer anomaly detection algorithm identify rare item event observation raise suspicion differing significantly majority data
94,AI (Data Science),What is a confounding variable in research?,"Answer: A confounding variable is an external factor that influences both the independent and dependent variables, potentially skewing the results of a study.",Hard,confounding variable research,answer confounding variable external factor influence independent dependent variable potentially skewing result study
95,AI (Data Science),Explain what an independent variable is.,Answer: An independent variable is a variable that is manipulated or controlled in an experiment to test its effects on the dependent variable.,Easy,explain independent variable,answer independent variable variable manipulated controlled experiment test effect dependent variable
96,AI (Data Science),What is a dependent variable?,Answer: A dependent variable is the outcome or response variable that is measured to assess the effect of changes in the independent variable.,Easy,dependent variable,answer dependent variable outcome response variable measured assess effect change independent variable
97,AI (Data Science),What is feature extraction?,Answer: Feature extraction involves creating new features from raw data based on existing features to improve model performance and reduce dimensionality.,Medium,feature extraction,answer feature extraction involves creating new feature raw data based existing feature improve model performance reduce dimensionality
98,AI (Data Science),What is a time series?,"Answer: A time series is a sequence of data points indexed in time order, often used for forecasting future values based on past observations.",Easy,time series,answer time series sequence data point indexed time order often used forecasting future value based past observation
99,AI (Data Science),What is a non-parametric test?,"Answer: A non-parametric test is a statistical test that does not assume a specific distribution for the data, making it suitable for ordinal or nominal data.",Hard,nonparametric test,answer nonparametric test statistical test assume specific distribution data making suitable ordinal nominal data
100,AI (Data Science),Can you explain what a t-test is?,Answer: A t-test is a statistical test used to compare the means of two groups to determine if they are significantly different from each other.,Medium,explain ttest,answer ttest statistical test used compare mean two group determine significantly different
101,AI (Data Science),What is the role of the optimizer in machine learning?,"Answer: An optimizer adjusts the model parameters to minimize the loss function, improving the model's performance during training.",Medium,role optimizer machine learning,answer optimizer adjusts model parameter minimize loss function improving model performance training
102,AI (Data Science),What is a chi-square test?,Answer: A chi-square test assesses the association between categorical variables by comparing observed frequencies to expected frequencies under the null hypothesis.,Medium,chisquare test,answer chisquare test assesses association categorical variable comparing observed frequency expected frequency null hypothesis
103,AI (Data Science),What is a z-score?,"Answer: A z-score measures how many standard deviations a data point is from the mean, indicating its relative position within a distribution.",Easy,zscore,answer zscore measure many standard deviation data point mean indicating relative position within distribution
104,AI (Data Science),What is a statistical power?,"Answer: Statistical power is the probability that a statistical test will correctly reject a false null hypothesis, indicating the test's ability to detect an effect if one exists.",Hard,statistical power,answer statistical power probability statistical test correctly reject false null hypothesis indicating test ability detect effect one exists
105,AI (Data Science),Explain what logistic regression is.,Answer: Logistic regression is a statistical model used for binary classification that predicts the probability of an outcome based on one or more predictor variables.,Medium,explain logistic regression,answer logistic regression statistical model used binary classification predicts probability outcome based one predictor variable
106,AI (Data Science),What are the assumptions of linear regression?,"Answer: Assumptions of linear regression include linearity, independence, homoscedasticity, normality of errors, and no multicollinearity among predictors.",Hard,assumption linear regression,answer assumption linear regression include linearity independence homoscedasticity normality error multicollinearity among predictor
107,AI (Data Science),What is a survival analysis?,"Answer: Survival analysis is a statistical approach used to analyze time-to-event data, often used in medical research to study time until an event like death occurs.",Hard,survival analysis,answer survival analysis statistical approach used analyze timetoevent data often used medical research study time event like death occurs
108,AI (Data Science),What is a quantitative variable?,"Answer: A quantitative variable is a numerical variable that can be measured and expressed in terms of quantity, such as height or weight.",Easy,quantitative variable,answer quantitative variable numerical variable measured expressed term quantity height weight
109,AI (Data Science),What is a qualitative variable?,"Answer: A qualitative variable is a categorical variable that describes characteristics or attributes, such as color or type, and cannot be measured numerically.",Easy,qualitative variable,answer qualitative variable categorical variable describes characteristic attribute color type measured numerically
110,AI (Data Science),What is the difference between a sample statistic and a population parameter?,"Answer: A sample statistic is calculated from a sample, while a population parameter is a value that describes a characteristic of an entire population.",Medium,difference sample statistic population parameter,answer sample statistic calculated sample population parameter value describes characteristic entire population
111,AI (Data Science),What is a normal distribution?,"Answer: A normal distribution is a probability distribution that is symmetric around the mean, showing that data near the mean are more frequent in occurrence.",Easy,normal distribution,answer normal distribution probability distribution symmetric around mean showing data near mean frequent occurrence
112,AI (Data Science),What is a histogram used for?,"Answer: A histogram is used to visualize the distribution of a dataset, showing the frequency of data points within specified ranges or bins.",Easy,histogram used,answer histogram used visualize distribution dataset showing frequency data point within specified range bin
113,AI (Data Science),What is a Pareto chart?,"Answer: A Pareto chart is a bar graph that displays the frequency or impact of problems in descending order, often used to identify the most significant factors in a dataset.",Medium,pareto chart,answer pareto chart bar graph display frequency impact problem descending order often used identify significant factor dataset
114,AI (Data Science),What is a heatmap?,"Answer: A heatmap is a data visualization technique that uses color to represent the values of a matrix or data table, indicating density or concentration of values.",Easy,heatmap,answer heatmap data visualization technique us color represent value matrix data table indicating density concentration value
115,AI (Data Science),What is the purpose of exploratory data analysis (EDA)?,"Answer: The purpose of EDA is to analyze datasets to summarize their main characteristics, often using visual methods to understand patterns and relationships.",Medium,purpose exploratory data analysis eda,answer purpose eda analyze datasets summarize main characteristic often using visual method understand pattern relationship
116,AI (Data Science),What is a residual plot?,Answer: A residual plot visualizes the residuals (differences between observed and predicted values) to assess the goodness of fit of a regression model.,Medium,residual plot,answer residual plot visualizes residual difference observed predicted value assess goodness fit regression model
117,AI (Data Science),What is an outlier?,"Answer: An outlier is a data point that significantly deviates from the other observations in a dataset, potentially indicating variability or measurement error.",Easy,outlier,answer outlier data point significantly deviate observation dataset potentially indicating variability measurement error
118,AI (Data Science),What is the purpose of data augmentation?,Answer: Data augmentation artificially increases the size of a training dataset by creating modified versions of existing data points to improve model robustness.,Medium,purpose data augmentation,answer data augmentation artificially increase size training dataset creating modified version existing data point improve model robustness
119,AI (Data Science),What is the purpose of a design of experiments (DOE)?,"Answer: DOE is a systematic method for planning experiments to optimize factors influencing a process, allowing for efficient data collection and analysis.",Hard,purpose design experiment doe,answer doe systematic method planning experiment optimize factor influencing process allowing efficient data collection analysis
120,AI (Data Science),What is a kernel in the context of SVM?,"Answer: A kernel is a function that transforms data into a higher-dimensional space to make it easier to classify, allowing SVM to find non-linear decision boundaries.",Medium,kernel context svm,answer kernel function transforms data higherdimensional space make easier classify allowing svm find nonlinear decision boundary
121,AI (Data Science),What are the key differences between bagging and boosting?,"Answer: Bagging reduces variance by averaging predictions of multiple models trained independently, while boosting reduces bias by sequentially training models that focus on errors made by previous ones.",Hard,key difference bagging boosting,answer bagging reduces variance averaging prediction multiple model trained independently boosting reduces bias sequentially training model focus error made previous one
122,AI (Data Science),What is the importance of data quality in machine learning?,Answer: High data quality ensures accurate and reliable model predictions; poor quality data can lead to misleading results and ineffective models.,Medium,importance data quality machine learning,answer high data quality ensures accurate reliable model prediction poor quality data lead misleading result ineffective model
